rank,itemCode,itemName,itemPrice,reviewAverage,reviewCount,itemUrl,has_USB,has_expand,has_frontOP,has_TSA,has_lock,has_lightweight,has_hardcase,has_softcase,has_silent,has_360wheel,has_4wheel,has_stopper,has_carry_on,has_large_capacity,has_shock_resistant,has_cup_holder,is_samsonite,is_innovator,has_warranty,has_1year_warranty,has_2year_warranty,has_3year_warranty,for_1night,for_2night,for_3night,for_4night,for_5night,for_short_stay,for_long_stay,appeal_price,appeal_authority,appeal_function,appeal_urgency
1,fukukyugoods:10000017,"【先着様限定！クーポン利用で6,496円から！】 ＼楽天1位／ 【New Trip】 スーツケース ストッパー付き 機内持ち込み s M Lサイズ Mサイズ 軽量 静音 キャリーケース キャリーバッグ 修学旅行 海外旅行 出張 3泊 5泊 小型 大型 TSAロック 1年保証 大容量",9280,4.54,1810,https://item.rakuten.co.jp/fukukyugoods/0701plus/?rafcid=wsc_i_ra_1097478371849223340,False,False,False,True,True,True,False,False,True,False,False,True,True,True,False,False,False,False,True,True,False,False,False,False,True,False,True,False,True,True,True,False,True
2,oneiricpearl:10000380,＼本日限り／ 早い者勝ち！先着5名に限り全品半額！スーツケース キャリーケース キャリーバッグ 5カラー選ぶ 小型1-3日用 宿泊 超軽 大容量 Sサイズ トランク 修学旅行 海外旅行 GOTOトラベル 国内旅行 送料無料 op-a028,7360,4.55,3612,https://item.rakuten.co.jp/oneiricpearl/op-a028/?rafcid=wsc_i_ra_1097478371849223340,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3,busyman:10000122,スーツケース 機内持込 軽量 キャリーバッグ TSAロック USBポート ドリンクホルダー 静音 人気 修学旅行 大容量 頑丈 かわいい おすすめ SSサイズ Sサイズ Mサイズ Lサイズ 子供へ T9088 TANOBI【キャンペーン参加で3年間品質保証獲得！】,3980,4.38,15655,https://item.rakuten.co.jp/busyman/pp003393/?rafcid=wsc_i_ra_1097478371849223340,True,False,False,True,True,True,False,False,True,False,False,False,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4,excitech:10000320,【夏割★1000円OFF】 【正規品★現役CA監修】 スーツケース キャリーケース 超軽量 【レビュー特典 今治タオル】 機内持ち込み 可能 S サイズ M サイズ L サイズ 大容量 拡張機能付き ストッパー付き 旅行 ビジネス 出張 修学旅行 海外旅行 国内旅行 送料無料,8990,4.5,1352,https://item.rakuten.co.jp/excitech/exci-suitcase-001/?rafcid=wsc_i_ra_1097478371849223340,False,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False
5,kkbussan:10000172,＼24H限定クーポンで3980円～／ 楽天1位 3冠 スーツケース S Mサイズ USBポート付き 機内持ち込み 耐衝撃 TSAロック機能 キャリーケース キャリーバッグ カップホルダー付き 隠しフック機能 充電機能 軽量 360度回転 大容量 海外旅行 旅行 GURAMU,7980,4.52,1483,https://item.rakuten.co.jp/kkbussan/ke101/?rafcid=wsc_i_ra_1097478371849223340,True,False,False,True,True,True,False,False,False,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True
6,euphoric:10000029,★TVメディアで紹介★正規品 スーツケース キャリーケース キャリーバッグ 機内持ち込み 1泊2日 2泊3日 3泊4日 キャリーバッグ 軽量 旅行 出張 海外旅行 ssサイズ sサイズ Mサイズ Lサイズ【日本企業企画】,12190,4.53,419,https://item.rakuten.co.jp/euphoric/10000010/?rafcid=wsc_i_ra_1097478371849223340,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,True,False,False
7,kures-store:10000373,"【クーポンで最安7,192~円】 ＼楽天1位／ スーツケース フレームタイプ ストッパー付き S/M/Lサイズ 機内持ち込み可能 USB充電ポート カップホルダー 軽量 キャリーケース ダイヤルロック ダブルキャスター バッグ 1-3泊 4-6泊 7泊〜 最大2年保証",17980,4.3,1543,https://item.rakuten.co.jp/kures-store/801lgx/?rafcid=wsc_i_ra_1097478371849223340,True,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False
8,b4u-shop:10002773,【★2000OFFクーポン♪07/18 23:59終了!ZIPで紹介されました!】B4U 公式 新 スーツケース 機内持ち込み 修学旅行 フロントオープン キャリーケース 2泊3日 3泊4日 Sサイズ Mサイズ 20インチ 24インチ 多機能 USBポート カップホルダー 静音 軽量 キャリーバッグ 大容量 水色,9980,4.41,4906,https://item.rakuten.co.jp/b4u-shop/2zk1127e/?rafcid=wsc_i_ra_1097478371849223340,True,False,True,False,False,True,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,True,True,True,False
9,cozyplaza:10000011,"★ランキング1位 30+冠+店長大暴走〜クーポンで2,980円★ スーツケース キャリーケース キャリーバッグ キャリーバー 機内持ち込み キャリーバッグ ファスナー 軽量設計 S M Lサイズ 6カラー選ぶ スーツケース可愛い 修学旅行 海外旅行 国内旅行 TSAロック",7450,4.51,3133,https://item.rakuten.co.jp/cozyplaza/cp-a018/?rafcid=wsc_i_ra_1097478371849223340,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
10,cicib:10002874,【公式】＼半額OFFセール／楽天1位★高評価 cicibella スーツケース 機内持ち込み キャリーケース キャリーバッグ Mサイズ スーツケース シシベラ TYPE-C＆USBポート付き TSAロック搭載 3-5日用 泊まる 超軽 大容量 トランク 修学旅行 海外旅行 国内旅行,7980,4.52,543,https://item.rakuten.co.jp/cicib/h1-m5/?rafcid=wsc_i_ra_1097478371849223340,True,False,False,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
